Back to Contents,Data 4: Cities,,,,,,,,,,
Sourcekey,EMM_EPM0_PTE_YBOS_DPG,EMM_EPM0_PTE_YORD_DPG,EMM_EPM0_PTE_YCLE_DPG,EMM_EPM0_PTE_YDEN_DPG,EMM_EPM0_PTE_Y44HO_DPG,EMM_EPM0_PTE_Y05LA_DPG,EMM_EPM0_PTE_YMIA_DPG,EMM_EPM0_PTE_Y35NY_DPG,EMM_EPM0_PTE_Y05SF_DPG,EMM_EPM0_PTE_Y48SE_DPG,
Date,"Boston, MA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",Chicago All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Cleveland, OH All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",Denver All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Houston All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),Los Angeles All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Miami, FL All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",New York City All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),San Francisco All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),"Seattle, WA All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)",
Jun-2000,,2.075,,1.612,1.57,1.592,,1.707,1.816,,
Jul-2000,,1.611,,1.65,1.58,1.645,,1.741,1.901,,
Aug-2000,,1.404,,1.545,1.508,1.59,,1.685,1.9,,
Sep-2000,,1.56,,1.587,1.492,1.727,,1.675,1.999,,
Oct-2000,,1.551,,1.573,1.465,1.746,,1.659,1.996,,
Nov-2000,,1.567,,1.583,1.442,1.692,,1.651,1.967,,
Dec-2000,,1.483,,1.543,1.397,1.627,,1.618,1.893,,
Jan-2001,,1.562,,1.477,1.416,1.554,,1.57,1.799,,
Feb-2001,,1.522,,1.507,1.42,1.607,,1.555,1.796,,
Mar-2001,,1.427,,1.461,1.381,1.655,,1.527,1.851,,
Apr-2001,,1.735,,1.603,1.559,1.75,,1.61,1.977,,
May-2001,,2.022,,1.781,1.652,2.007,,1.808,2.064,,
Jun-2001,,1.783,,1.775,1.565,1.981,,1.818,2.061,,
Jul-2001,,1.416,,1.559,1.385,1.818,,1.703,1.929,,
Aug-2001,,1.64,,1.472,1.329,1.571,,1.596,1.74,,
Sep-2001,,1.849,,1.657,1.401,1.621,,1.554,1.874,,
Oct-2001,,1.466,,1.478,1.281,1.47,,1.453,1.783,,
Nov-2001,,1.261,,1.224,1.102,1.252,,1.314,1.637,,
Dec-2001,,1.204,,1.092,1.025,1.065,,1.206,1.408,,
Jan-2002,,1.153,,1.133,1.058,1.167,,1.209,1.326,,
Feb-2002,,1.152,,1.135,1.077,1.303,,1.208,1.313,,
Mar-2002,,1.372,,1.264,1.221,1.49,,1.292,1.512,,
Apr-2002,,1.543,,1.406,1.401,1.622,,1.47,1.707,,
May-2002,,1.577,,1.411,1.388,1.584,,1.502,1.674,,
Jun-2002,,1.566,,1.384,1.353,1.601,,1.488,1.699,,
Jul-2002,,1.526,,1.462,1.35,1.61,,1.486,1.722,,
Aug-2002,,1.524,,1.494,1.354,1.604,,1.523,1.713,,
Sep-2002,,1.532,,1.446,1.365,1.604,,1.531,1.684,,
Oct-2002,,1.6,,1.528,1.418,1.536,,1.544,1.642,,
Nov-2002,,1.53,,1.498,1.406,1.575,,1.563,1.716,,
Dec-2002,,1.448,,1.427,1.372,1.52,,1.568,1.692,,
Jan-2003,,1.54,,1.488,1.438,1.61,,1.598,1.781,,
Feb-2003,,1.696,,1.603,1.586,1.812,,1.697,1.952,,
Mar-2003,,1.754,,1.681,1.62,2.135,,1.753,2.2,,
Apr-2003,,1.608,,1.577,1.51,2.083,,1.708,2.131,,
May-2003,,1.584,,1.499,1.41,1.882,,1.635,1.955,,
Jun-2003,1.542,1.623,1.498,1.504,1.408,1.793,1.571,1.564,1.898,1.591,
Jul-2003,1.559,1.606,1.516,1.518,1.443,1.749,1.601,1.571,1.9,1.622,
Aug-2003,1.653,1.725,1.658,1.636,1.527,1.912,1.678,1.667,1.99,1.78,
Sep-2003,1.814,1.799,1.699,1.701,1.556,2.095,1.747,1.849,2.126,1.887,
Oct-2003,1.722,1.689,1.604,1.553,1.432,1.847,1.658,1.768,1.902,1.657,
Nov-2003,1.612,1.643,1.54,1.525,1.405,1.742,1.604,1.699,1.776,1.59,
Dec-2003,1.561,1.576,1.452,1.461,1.399,1.697,1.574,1.643,1.695,1.537,
Jan-2004,1.624,1.676,1.611,1.533,1.507,1.747,1.688,1.672,1.749,1.637,
Feb-2004,1.694,1.751,1.682,1.584,1.575,1.966,1.76,1.732,1.932,1.728,
Mar-2004,1.752,1.802,1.734,1.73,1.622,2.2,1.84,1.791,2.182,1.845,
Apr-2004,1.777,1.908,1.795,1.848,1.691,2.234,1.902,1.824,2.195,1.96,
May-2004,2.018,2.123,1.988,1.987,1.859,2.331,2.059,2.052,2.318,2.253,
Jun-2004,2.106,2.044,1.882,1.984,1.872,2.35,2.105,2.157,2.353,2.232,
Jul-2004,1.991,1.982,1.895,1.928,1.799,2.249,2.036,2.087,2.255,2.032,
Aug-2004,1.95,1.97,1.885,1.891,1.793,2.135,1.932,2.029,2.157,1.983,
Sep-2004,1.922,1.951,1.897,1.875,1.779,2.119,1.99,1.971,2.145,2.028,
Oct-2004,2.029,2.075,2.009,1.974,1.898,2.404,2.094,2.065,2.411,2.092,
Nov-2004,2.034,2.047,1.934,1.952,1.89,2.371,2.119,2.073,2.401,2.074,
Dec-2004,1.929,1.872,1.793,1.851,1.763,2.17,2.055,1.995,2.174,1.947,
Jan-2005,1.874,1.899,1.888,1.792,1.752,2.054,1.987,1.934,1.981,1.853,
Feb-2005,1.936,1.963,1.975,1.886,1.811,2.21,2.036,1.953,2.107,1.971,
Mar-2005,2.042,2.185,2.168,2.112,1.985,2.386,2.198,2.049,2.33,2.185,
Apr-2005,2.206,2.327,2.217,2.264,2.147,2.609,2.389,2.23,2.656,2.465,
